year,count,total_rainfall,maximum_rainfall_in_a_day,no_of_rainy_days,sum_temp,mean_temp,max_temperature
1982,12.0,1578.0,109.0,130.0,324.0,27.0,34.3
1983,12.0,1988.0,181.0,145.0,327.0,27.25,35.8
1984,12.0,2682.0,154.0,191.0,316.0,26.333333333333332,33.4
1985,12.0,1480.0,86.0,181.0,321.0,26.75,35.0
1986,12.0,2531.0,131.0,174.0,318.0,26.5,34.2
1987,12.0,2095.0,127.0,151.0,322.0,26.833333333333332,34.6
1988,12.0,2593.0,187.0,173.0,323.0,26.916666666666668,34.7
1989,12.0,2458.0,148.0,173.0,318.0,26.5,34.5
1990,12.0,1520.0,153.0,142.0,327.0,27.25,35.0
1991,12.0,1873.0,129.0,146.0,323.0,26.916666666666668,34.1
1992,12.0,2255.0,120.0,163.0,324.0,27.0,34.7
1993,12.0,2162.0,67.0,163.0,322.0,26.833333333333332,34.2
1994,12.0,1936.0,178.0,160.0,325.0,27.083333333333332,34.2
1995,12.0,2327.0,198.0,179.0,325.0,27.083333333333332,34.1
1996,12.0,2414.0,94.0,170.0,324.0,27.0,34.4
1997,12.0,1113.0,65.0,116.0,334.0,27.833333333333332,35.1
1998,12.0,2617.0,84.0,177.0,334.0,27.833333333333332,36.0
1999,12.0,2129.0,76.0,177.0,325.0,27.083333333333332,34.4
2000,12.0,2365.0,127.0,188.0,325.0,27.083333333333332,34.3
2001,12.0,2779.0,211.0,184.0,327.0,27.25,34.0
2002,12.0,1744.0,84.0,139.0,332.0,27.666666666666668,34.8
2003,12.0,2385.0,194.0,186.0,328.0,27.333333333333332,34.3
2004,12.0,2130.0,177.0,147.0,327.0,27.25,35.1
2005,12.0,1926.0,133.0,175.0,331.0,27.583333333333332,35.4
2006,12.0,2747.0,198.0,174.0,328.0,27.333333333333332,34.6
2007,12.0,2882.0,159.0,195.0,324.0,27.0,34.0
2008,12.0,2321.0,133.0,182.0,323.0,26.916666666666668,34.1
2009,12.0,1914.0,86.0,166.0,331.0,27.583333333333332,35.0
2010,12.0,2070.0,121.0,178.0,331.0,27.583333333333332,35.5
2011,12.0,2519.0,216.0,188.0,325.0,27.083333333333332,35.3
2012,12.0,2156.0,92.0,191.0,324.0,27.0,33.7
2013,12.0,2744.0,139.0,206.0,327.0,27.25,35.2
2014,12.0,1534.0,64.0,152.0,330.0,27.5,34.5
2015,12.0,1261.0,63.0,125.0,334.0,27.833333333333332,34.4
2016,12.0,1950.0,75.0,179.0,336.0,28.0,35.0
2017,12.0,2041.0,69.0,204.0,327.0,27.25,34.6
2018,12.0,1703.0,60.0,188.0,330.0,27.5,35.0
2019,12.0,1361.0,92.0,120.0,338.0,28.166666666666668,34.8
2020,12.0,1881.0,64.0,178.0,330.0,27.5,34.6
2021,12.0,2804.0,210.0,182.0,329.0,27.416666666666668,34.7
2022,9.0,1396.0,59.0,138.0,249.0,27.666666666666668,35.4
